Sample	Name	Reads1WithAdapter	Reads2WithAdapter
1	7	0	0
2	20	0	0
3	34	0	0
4	43	0	0
5	71	0	0
6	280	0	0
7	311	0	0
8	364	0	0
9	1934	0	0
10	1951	0	0
11	4571	0	0
12	2038	0	0
13	605	0	0
14	620	0	0
15	641	0	0
16	671	0	0
17	4709	0	0
18	4715	0	0
19	700	0	0
20	723	0	0
21	4721	0	0
22	727	0	0
23	730	0	0
24	4733	0	0
25	36	7	0
26	172	0	0
27	275	0	0
28	281	0	0
29	350	0	0
30	360	0	0
31	367	0	0
32	373	0	0
33	379	0	0
34	383	0	0
35	394	0	0
36	548	0	7
37	601	0	0
38	693	0	0
39	698	0	0
40	701	0	0
41	721	0	0
42	729	0	0
43	733	0	0
44	756	0	0
45	795	0	0
46	809	0	0
47	813	0	0
48	821	0	0
49	40	0	0
50	137	0	0
51	254	0	0
52	271	0	0
53	341	0	0
54	357	0	0
55	674	0	0
56	684	0	0
57	690	0	0
58	711	0	0
59	714	0	0
60	718	0	0
61	1681	0	0
62	1775	0	0
63	1798	0	0
64	1805	0	0
65	1896	0	0
66	1947	0	0
67	2059	0	0
68	2173	0	0
69	2	0	0
70	173	0	0
71	185	0	0
72	276	0	0
73	291	0	0
74	300	0	0
75	354	0	0
76	377	0	0
77	385	0	0
78	392	0	0
79	560	0	0
80	577	0	0
81	712	0	0
82	4066	0	0
83	1695	0	0
84	4093	0	0
85	1907	0	0
86	1919	0	0
87	2037	0	0
88	2177	0	0
89	4506	0	0
90	4616	0	0
91	4563	0	0
92	4566	0	0
93	4568	0	0
94	4570	0	0
95	4572	0	0
96	4576	0	0
97	2392	0	0
98	1606	0	0
99	1747	0	0
100	1742	0	0
101	1923	0	0
102	3157	0	0
103	2301	0	0
104	2200	0	0
105	2255	0	0
106	2420	0	0
107	2404	0	0
108	1548	0	0
109	2215	0	0
110	2384	0	0
111	2231	0	0
112	2355	0	0
113	2272	0	0
114	2232	0	0
115	2188	0	0
116	2334	0	0
117	2267	0	0
118	2354	0	0
119	1749	0	0
120	2296	0	0
121	2269	0	0
122	4504	0	0
123	2304	0	0
124	2388	0	0
125	2382	0	0
126	2398	0	0
127	2224	0	0
128	2479	0	0
129	2368	0	0
130	2314	0	0
131	1648	0	0
132	2280	0	0
133	1514	0	0
134	2311	0	0
135	2386	0	0
136	2250	0	0
137	2284	0	0
138	2336	0	0
139	4477	0	0
140	4580	0	0
141	4582	0	0
142	4585	7	0
143	4588	0	0
144	4593	0	0
145	1374	0	0
146	1520	0	0
147	1683	0	0
148	1687	0	0
149	1690	0	0
150	1696	0	0
151	1697	0	0
152	1734	0	0
153	1736	0	0
154	1751	0	0
155	1753	7	0
156	4602	0	0
157	4605	0	0
158	1760	0	0
159	1762	0	0
160	1763	0	0
161	1768	0	0
162	4609	0	0
163	1777	0	0
164	4618	0	0
165	4623	0	0
166	4630	0	0
167	1819	0	0
168	4635	0	0
169	1837	0	0
170	1843	0	0
171	1845	0	0
172	1850	0	0
173	1855	0	0
174	1859	0	0
175	1880	0	0
176	1886	0	0
177	1890	0	0
178	1897	0	0
179	1929	7	0
180	4540	0	0
181	1971	0	0
182	1978	0	7
183	2020	0	0
184	2035	0	0
185	2044	0	0
186	4637	0	0
187	4640	0	0
188	2117	0	0
189	2118	0	0
190	2485	0	0
191	2517	0	0
192	4649	0	0
193	214	0	0
194	220	0	0
195	235	7	0
196	238	0	0
197	286	0	0
198	528	0	0
199	529	7	0
200	549	0	0
201	611	0	0
202	661	14	0
203	665	0	0
204	797	0	0
205	803	0	0
206	863	0	0
